Content_ID,Created_At,Status,Hook_Class,Destination_Intent,Pillar,Topic,Destination_URL,Title,Caption_1,Caption_2,Caption_3,Description_With_Hashtags,Overlay_1,Overlay_2,Has_Text_Overlay,Primary_CTA,Visual_Preset,Image_Prompt,UTM_URL,Quality_Score,Quality_Flags,AutoFixSuggestions,Hook_Class_Uniqueness_Flag,Intent_Balance_Flag,Visual_Risk_Flags,Naturalness_Flag,Human_Approved,Scheduled_At,Posted_At
PIN-011,2026-02-23T09:30:18.839Z,draft,StylingFormula,Inspire,Styling,styling-stylingformula-11,/start-here,StylingFormula for Styling: renter-safe update under $225,You want personality without making the room feel busier. This StylingFormula plan stays under $225.,"You get a bathroom that looks intentional, not expensive. Use one color rule and one texture layer for instant cohesion.",Click for the full setup.,"You want personality without making the room feel busier. This StylingFormula plan stays under $225. You get a bathroom that looks intentional, not expensive. Use one color rule and one texture layer for instant cohesion. Click for the full setup. #bathroomdiy #rentersafe #budgetdecor #bathroomstyling #colorformula #maximalistdecor #stylingformula",StylingFormula under $225,Renter-safe path,true,Click for the full setup,tiny_bathroom_scene_v1,"AI-generated bathroom scene, no people, no logos, Styling styling, matte tile textures, soft daylight, clean composition with text safe area",/blog/no-drill-towel-storage-renters?utm_source=pinterest&utm_medium=organic&utm_campaign=week1_growth&utm_content=pin-011_stylingformula_inspire,92,non_blocking:benefit_framing_weak,"Add one clear reader benefit (example: saves time, reduces clutter, calmer routine).",true,true,,true,false,2026-02-25T04:00:00.000Z,
PIN-012,2026-02-23T09:30:18.839Z,draft,MythBuster,Teach,PlantsBiophilic,plantsbiophilic-mythbuster-12,/hub/renter-friendly-upgrades,MythBuster for PlantsBiophilic: renter-safe update under $300,"Plants die quickly in low-light, humid bathrooms. This MythBuster plan stays under $300.",You get greenery that actually survives and softens the space. Match plants to light + humidity constraints before styling.,See the full instructions.,"Plants die quickly in low-light, humid bathrooms. This MythBuster plan stays under $300. You get greenery that actually survives and softens the space. Match plants to light + humidity constraints before styling. See the full instructions. #bathroomdiy #rentersafe #budgetdecor #bathroomplants #biophilicdesign #plantstyling #mythbuster",MythBuster under $300,Renter-safe path,true,See the full instructions,bathroom_flatlay_v1,"AI-generated bathroom scene, no people, no logos, PlantsBiophilic styling, matte tile textures, soft daylight, clean composition with text safe area",/blog/15-dollar-bathroom-upgrades?utm_source=pinterest&utm_medium=organic&utm_campaign=week1_growth&utm_content=pin-012_mythbuster_teach,92,non_blocking:benefit_framing_weak,"Add one clear reader benefit (example: saves time, reduces clutter, calmer routine).",true,true,,true,false,2026-02-25T07:00:00.000Z,
PIN-013,2026-02-23T09:30:18.839Z,draft,BeforeAfter,Solve,RenterFriendly,renterfriendly-beforeafter-13,/hub/budget-diy-transformations,BeforeAfter for RenterFriendly: renter-safe update under $75,You want your deposit back and still want the bathroom to feel finished. This BeforeAfter plan stays under $75.,"You get a cleaner, calmer bathroom without permanent changes. Swap temporary hardware and reset high-traffic zones.",Fix this bottleneck first.,"You want your deposit back and still want the bathroom to feel finished. This BeforeAfter plan stays under $75. You get a cleaner, calmer bathroom without permanent changes. Swap temporary hardware and reset high-traffic zones. Fix this bottleneck first. #bathroomdiy #rentersafe #budgetdecor #renterfriendly #nodrill #apartmentdecor #beforeafter",BeforeAfter under $75,Renter-safe path,true,Fix this bottleneck first,tiny_bathroom_scene_v1,"AI-generated bathroom scene, no people, no logos, RenterFriendly styling, matte tile textures, soft daylight, clean composition with text safe area",/blog/tiny-bathroom-layout-fixes?utm_source=pinterest&utm_medium=organic&utm_campaign=week1_growth&utm_content=pin-013_beforeafter_solve,100,,,true,true,,true,false,2026-02-25T21:00:00.000Z,
PIN-014,2026-02-23T09:30:18.839Z,draft,Checklist,Shop,BudgetDIY,budgetdiy-checklist-14,/hub/small-bathroom-space-hacks,Checklist for BudgetDIY: renter-safe update under $150,You want visible change but every home project feels expensive. This Checklist plan stays under $150.,You get high-impact updates without blowing your monthly budget. Use one anchor fix plus one support layer under a hard budget cap.,View renter-safe options.,You want visible change but every home project feels expensive. This Checklist plan stays under $150. You get high-impact updates without blowing your monthly budget. Use one anchor fix plus one support layer under a hard budget cap. View renter-safe options. #bathroomdiy #rentersafe #budgetdecor #budgetdiy #cheapdecor #diyhomeprojects #checklist,Checklist under $150,Renter-safe path,true,View renter-safe options,bathroom_flatlay_v1,"AI-generated bathroom scene, no people, no logos, BudgetDIY styling, matte tile textures, soft daylight, clean composition with text safe area",/blog/clutter-to-calm-bathroom-zones?utm_source=pinterest&utm_medium=organic&utm_campaign=week1_growth&utm_content=pin-014_checklist_shop,92,non_blocking:benefit_framing_weak,"Add one clear reader benefit (example: saves time, reduces clutter, calmer routine).",true,true,,true,false,2026-02-26T00:00:00.000Z,
PIN-015,2026-02-23T09:30:18.839Z,draft,MistakesToAvoid,Subscribe,SmallSpace,smallspace-mistakestoavoid-15,/hub/storage-and-clutter-to-calm,MistakesToAvoid for SmallSpace: renter-safe update under $225,Tiny layouts make daily routines feel cramped and frustrating. This MistakesToAvoid plan stays under $225.,You get smoother movement and less visual stress in tight spaces. Re-route one clutter point and create one clear landing zone.,Send me the free guide.,Tiny layouts make daily routines feel cramped and frustrating. This MistakesToAvoid plan stays under $225. You get smoother movement and less visual stress in tight spaces. Re-route one clutter point and create one clear landing zone. Send me the free guide. #bathroomdiy #rentersafe #budgetdecor #smallbathroom #smallspacehacks #tinybathroom #mistakestoavoid,MistakesToAvoid under $225,Renter-safe path,true,Send me the free guide,tiny_bathroom_scene_v1,"AI-generated bathroom scene, no people, no logos, SmallSpace styling, matte tile textures, soft daylight, clean composition with text safe area",/blog/budget-maximalist-bathroom-color-map?utm_source=pinterest&utm_medium=organic&utm_campaign=week1_growth&utm_content=pin-015_mistakestoavoid_subscribe,92,non_blocking:benefit_framing_weak,"Add one clear reader benefit (example: saves time, reduces clutter, calmer routine).",true,true,,true,false,2026-02-26T03:00:00.000Z,
PIN-016,2026-02-23T09:30:18.839Z,draft,QuickWin,Inspire,StorageOrganization,storageorganization-quickwin-16,/start-here,QuickWin for StorageOrganization: renter-safe update under $300,Counters and cabinets refill with clutter within days. This QuickWin plan stays under $300.,You save time each morning because everything has a predictable home. Build a simple category system that survives real daily use.,Save this plan for later.,Counters and cabinets refill with clutter within days. This QuickWin plan stays under $300. You save time each morning because everything has a predictable home. Build a simple category system that survives real daily use. Save this plan for later. #bathroomdiy #rentersafe #budgetdecor #bathroomstorage #organizingtips #declutterhome #quickwin,QuickWin under $300,Renter-safe path,true,Save this plan for later,bathroom_flatlay_v1,"AI-generated bathroom scene, no people, no logos, StorageOrganization styling, matte tile textures, soft daylight, clean composition with text safe area",/blog/humidity-friendly-bathroom-plants?utm_source=pinterest&utm_medium=organic&utm_campaign=week1_growth&utm_content=pin-016_quickwin_inspire,100,,,true,true,,true,false,2026-02-26T06:00:00.000Z,
PIN-017,2026-02-23T09:30:18.839Z,draft,BudgetBreakdown,Teach,Styling,styling-budgetbreakdown-17,/hub/renter-friendly-upgrades,BudgetBreakdown for Styling: renter-safe update under $75,You want personality without making the room feel busier. This BudgetBreakdown plan stays under $75.,"You get a bathroom that looks intentional, not expensive. Use one color rule and one texture layer for instant cohesion.",Use this exact checklist.,"You want personality without making the room feel busier. This BudgetBreakdown plan stays under $75. You get a bathroom that looks intentional, not expensive. Use one color rule and one texture layer for instant cohesion. Use this exact checklist. #bathroomdiy #rentersafe #budgetdecor #bathroomstyling #colorformula #maximalistdecor #budgetbreakdown",BudgetBreakdown under $75,Renter-safe path,true,Use this exact checklist,tiny_bathroom_scene_v1,"AI-generated bathroom scene, no people, no logos, Styling styling, matte tile textures, soft daylight, clean composition with text safe area",/micro/no-drill-art-layout-guide?utm_source=pinterest&utm_medium=organic&utm_campaign=week1_growth&utm_content=pin-017_budgetbreakdown_teach,92,non_blocking:benefit_framing_weak,"Add one clear reader benefit (example: saves time, reduces clutter, calmer routine).",true,true,,true,false,2026-02-26T20:00:00.000Z,
PIN-018,2026-02-23T09:30:18.839Z,draft,StepByStepHowTo,Solve,PlantsBiophilic,plantsbiophilic-stepbystephowto-18,/hub/budget-diy-transformations,StepByStepHowTo for PlantsBiophilic: renter-safe update under $150,"Plants die quickly in low-light, humid bathrooms. This StepByStepHowTo plan stays under $150.",You get greenery that actually survives and softens the space. Match plants to light + humidity constraints before styling.,Use the decision tree now.,"Plants die quickly in low-light, humid bathrooms. This StepByStepHowTo plan stays under $150. You get greenery that actually survives and softens the space. Match plants to light + humidity constraints before styling. Use the decision tree now. #bathroomdiy #rentersafe #budgetdecor #bathroomplants #biophilicdesign #plantstyling #stepbystephowto",StepByStepHowTo under $150,Renter-safe path,true,Use the decision tree now,bathroom_flatlay_v1,"AI-generated bathroom scene, no people, no logos, PlantsBiophilic styling, matte tile textures, soft daylight, clean composition with text safe area",/micro/under-75-color-refresh-plan?utm_source=pinterest&utm_medium=organic&utm_campaign=week1_growth&utm_content=pin-018_stepbystephowto_solve,92,non_blocking:benefit_framing_weak,"Add one clear reader benefit (example: saves time, reduces clutter, calmer routine).",true,true,,true,false,2026-02-26T23:00:00.000Z,
PIN-019,2026-02-23T09:30:18.839Z,draft,ProductRoundup,Shop,RenterFriendly,renterfriendly-productroundup-19,/hub/small-bathroom-space-hacks,ProductRoundup for RenterFriendly: renter-safe update under $225,You want your deposit back and still want the bathroom to feel finished. This ProductRoundup plan stays under $225.,"You get a cleaner, calmer bathroom without permanent changes. Swap temporary hardware and reset high-traffic zones.",Compare picks by budget.,"You want your deposit back and still want the bathroom to feel finished. This ProductRoundup plan stays under $225. You get a cleaner, calmer bathroom without permanent changes. Swap temporary hardware and reset high-traffic zones. Compare picks by budget. #bathroomdiy #rentersafe #budgetdecor #renterfriendly #nodrill #apartmentdecor #productroundup",ProductRoundup under $225,Renter-safe path,true,Compare picks by budget,tiny_bathroom_scene_v1,"AI-generated bathroom scene, no people, no logos, RenterFriendly styling, matte tile textures, soft daylight, clean composition with text safe area",/micro/tiny-vanity-top-organization-map?utm_source=pinterest&utm_medium=organic&utm_campaign=week1_growth&utm_content=pin-019_productroundup_shop,100,,,true,true,,true,false,2026-02-27T02:00:00.000Z,
PIN-020,2026-02-23T09:30:18.839Z,draft,PlantPicker,Subscribe,BudgetDIY,budgetdiy-plantpicker-20,/hub/storage-and-clutter-to-calm,PlantPicker for BudgetDIY: renter-safe update under $300,You want visible change but every home project feels expensive. This PlantPicker plan stays under $300.,You get high-impact updates without blowing your monthly budget. Use one anchor fix plus one support layer under a hard budget cap.,Join weekly bathroom plans.,You want visible change but every home project feels expensive. This PlantPicker plan stays under $300. You get high-impact updates without blowing your monthly budget. Use one anchor fix plus one support layer under a hard budget cap. Join weekly bathroom plans. #bathroomdiy #rentersafe #budgetdecor #budgetdiy #cheapdecor #diyhomeprojects #plantpicker,PlantPicker under $300,Renter-safe path,true,Join weekly bathroom plans,bathroom_flatlay_v1,"AI-generated bathroom scene, no people, no logos, BudgetDIY styling, matte tile textures, soft daylight, clean composition with text safe area",/micro/removable-lighting-upgrade-checklist?utm_source=pinterest&utm_medium=organic&utm_campaign=week1_growth&utm_content=pin-020_plantpicker_subscribe,92,non_blocking:benefit_framing_weak,"Add one clear reader benefit (example: saves time, reduces clutter, calmer routine).",true,true,,true,false,2026-02-27T05:00:00.000Z,
PIN-021,2026-02-23T09:30:18.839Z,draft,RenterHack,Inspire,SmallSpace,smallspace-renterhack-21,/start-here,RenterHack for SmallSpace: renter-safe update under $75,Tiny layouts make daily routines feel cramped and frustrating. This RenterHack plan stays under $75.,You get smoother movement and less visual stress in tight spaces. Re-route one clutter point and create one clear landing zone.,Start with this quick reset.,Tiny layouts make daily routines feel cramped and frustrating. This RenterHack plan stays under $75. You get smoother movement and less visual stress in tight spaces. Re-route one clutter point and create one clear landing zone. Start with this quick reset. #bathroomdiy #rentersafe #budgetdecor #smallbathroom #smallspacehacks #tinybathroom #renterhack,RenterHack under $75,Renter-safe path,true,Start with this quick reset,tiny_bathroom_scene_v1,"AI-generated bathroom scene, no people, no logos, SmallSpace styling, matte tile textures, soft daylight, clean composition with text safe area",/micro/peel-stick-backsplash-cut-plan?utm_source=pinterest&utm_medium=organic&utm_campaign=week1_growth&utm_content=pin-021_renterhack_inspire,92,non_blocking:benefit_framing_weak,"Add one clear reader benefit (example: saves time, reduces clutter, calmer routine).",true,true,,true,false,2026-02-27T19:00:00.000Z,
PIN-022,2026-02-23T09:30:18.839Z,draft,SmallSpaceTrick,Teach,StorageOrganization,storageorganization-smallspacetrick-22,/hub/renter-friendly-upgrades,SmallSpaceTrick for StorageOrganization: renter-safe update under $150,Counters and cabinets refill with clutter within days. This SmallSpaceTrick plan stays under $150.,You save time each morning because everything has a predictable home. Build a simple category system that survives real daily use.,Follow this step-by-step guide.,Counters and cabinets refill with clutter within days. This SmallSpaceTrick plan stays under $150. You save time each morning because everything has a predictable home. Build a simple category system that survives real daily use. Follow this step-by-step guide. #bathroomdiy #rentersafe #budgetdecor #bathroomstorage #organizingtips #declutterhome #smallspacetrick,SmallSpaceTrick under $150,Renter-safe path,true,Follow this step-by-step guide,bathroom_flatlay_v1,"AI-generated bathroom scene, no people, no logos, StorageOrganization styling, matte tile textures, soft daylight, clean composition with text safe area",/micro/renter-mirror-placement-map?utm_source=pinterest&utm_medium=organic&utm_campaign=week1_growth&utm_content=pin-022_smallspacetrick_teach,100,,,true,true,,true,false,2026-02-27T22:00:00.000Z,
PIN-023,2026-02-23T09:30:18.839Z,draft,StylingFormula,Solve,Styling,styling-stylingformula-23,/hub/budget-diy-transformations,StylingFormula for Styling: renter-safe update under $225,You want personality without making the room feel busier. This StylingFormula plan stays under $225.,"You get a bathroom that looks intentional, not expensive. Use one color rule and one texture layer for instant cohesion.",Choose your best-fit path.,"You want personality without making the room feel busier. This StylingFormula plan stays under $225. You get a bathroom that looks intentional, not expensive. Use one color rule and one texture layer for instant cohesion. Choose your best-fit path. #bathroomdiy #rentersafe #budgetdecor #bathroomstyling #colorformula #maximalistdecor #stylingformula",StylingFormula under $225,Renter-safe path,true,Choose your best-fit path,tiny_bathroom_scene_v1,"AI-generated bathroom scene, no people, no logos, Styling styling, matte tile textures, soft daylight, clean composition with text safe area",/micro/mini-bath-plant-shelf-layout?utm_source=pinterest&utm_medium=organic&utm_campaign=week1_growth&utm_content=pin-023_stylingformula_solve,92,non_blocking:benefit_framing_weak,"Add one clear reader benefit (example: saves time, reduces clutter, calmer routine).",true,true,,true,false,2026-02-28T01:00:00.000Z,
PIN-024,2026-02-23T09:30:18.839Z,draft,MythBuster,Shop,PlantsBiophilic,plantsbiophilic-mythbuster-24,/hub/small-bathroom-space-hacks,MythBuster for PlantsBiophilic: renter-safe update under $300,"Plants die quickly in low-light, humid bathrooms. This MythBuster plan stays under $300.",You get greenery that actually survives and softens the space. Match plants to light + humidity constraints before styling.,Shop the under-$150 tier.,"Plants die quickly in low-light, humid bathrooms. This MythBuster plan stays under $300. You get greenery that actually survives and softens the space. Match plants to light + humidity constraints before styling. Shop the under-$150 tier. #bathroomdiy #rentersafe #budgetdecor #bathroomplants #biophilicdesign #plantstyling #mythbuster",MythBuster under $300,Renter-safe path,true,Shop the under-$150 tier,bathroom_flatlay_v1,"AI-generated bathroom scene, no people, no logos, PlantsBiophilic styling, matte tile textures, soft daylight, clean composition with text safe area",/micro/under-sink-bin-label-system?utm_source=pinterest&utm_medium=organic&utm_campaign=week1_growth&utm_content=pin-024_mythbuster_shop,92,non_blocking:benefit_framing_weak,"Add one clear reader benefit (example: saves time, reduces clutter, calmer routine).",true,true,,true,false,2026-02-28T04:00:00.000Z,
